session_id,participant_age,participant_gender,participant_nationality,condition,assignment_cell,assignment_source,scenario_context_condition,scenario_context_label,scenario_context_text,phase,trial_index,item_id,item_label,rating_type,rating,rt_ms,viewed_ms
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","1","neutral-47","cuteness_rating","cuteness","1","4523","4524"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","2","neutral-06","cuteness_rating","cuteness","1","2565","2565"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","3","neutral-22","cuteness_rating","cuteness","1","1633","1633"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","4","neutral-23","cuteness_rating","cuteness","1","1117","1117"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","5","neutral-21","cuteness_rating","cuteness","1","2517","2517"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","6","neutral-03","cuteness_rating","cuteness","1","1699","1699"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","7","neutral-12","cuteness_rating","cuteness","1","3135","3135"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","8","neutral-19","cuteness_rating","cuteness","1","1016","1016"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","9","neutral-02","cuteness_rating","cuteness","1","1433","1433"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","10","neutral-13","cuteness_rating","cuteness","1","1101","1101"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","11","neutral-44","cuteness_rating","cuteness","1","1215","1215"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","12","neutral-04","cuteness_rating","cuteness","2","4850","4850"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","13","neutral-29","cuteness_rating","cuteness","1","2884","2884"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","14","neutral-18","cuteness_rating","cuteness","1","1132","1132"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","15","neutral-34","cuteness_rating","cuteness","1","885","885"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","16","neutral-38","cuteness_rating","cuteness","1","850","850"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","17","neutral-50","cuteness_rating","cuteness","1","715","716"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","18","neutral-17","cuteness_rating","cuteness","1","968","968"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","19","neutral-36","cuteness_rating","cuteness","1","700","700"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","20","neutral-37","cuteness_rating","cuteness","1","1082","1082"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","21","neutral-09","cuteness_rating","cuteness","1","1185","1185"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","22","neutral-30","cuteness_rating","cuteness","1","1182","1182"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","23","neutral-48","cuteness_rating","cuteness","1","1301","1301"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","24","neutral-28","cuteness_rating","cuteness","1","1067","1067"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","25","neutral-41","cuteness_rating","cuteness","1","1084","1084"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","26","neutral-40","cuteness_rating","cuteness","1","1218","1218"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","27","neutral-46","cuteness_rating","cuteness","1","1567","1567"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","28","neutral-08","cuteness_rating","cuteness","1","1866","1866"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","29","neutral-27","cuteness_rating","cuteness","1","1133","1133"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","30","neutral-26","cuteness_rating","cuteness","1","1467","1467"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","31","neutral-05","cuteness_rating","cuteness","1","2882","2883"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","32","neutral-14","cuteness_rating","cuteness","1","1918","1918"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","33","neutral-20","cuteness_rating","cuteness","1","2499","2499"
"session-1777340814142-dyj2oo","23","여성","대한민국","A","neutral:disadvantaged","server","","","","stimulus","34","neutral-25","cuteness_rating","cuteness","1","1335","1335"
